domain,cluster,strand,section_type,question,level,level_name,source,text
Digital,Digital Transformation,Focusing on users,behaviours,How would you rate your ability to keep user needs in view when other priorities or pressures are pulling in a different direction?,2,Awareness,inferred,Raises observations about user needs in team discussions and supports colleagues in considering the impact of decisions on users.
Digital,Digital Transformation,Focusing on users,behaviours,How would you rate your ability to keep user needs in view when other priorities or pressures are pulling in a different direction?,3,Working,inferred,Speaks up when user needs risk being overlooked in delivery decisions. Uses evidence from research or feedback to support their point of view.
Digital,Digital Transformation,Focusing on users,behaviours,How would you rate your ability to keep user needs in view when other priorities or pressures are pulling in a different direction?,4,Practitioner,inferred,Actively challenges decisions that deprioritise user needs and helps teams find ways to balance delivery pressures with user outcomes.
Digital,Digital Transformation,Focusing on users,behaviours,How would you rate your ability to keep user needs in view when other priorities or pressures are pulling in a different direction?,5,Expert,inferred,Models and promotes a culture where user needs are treated as non-negotiable. Supports leaders to make decisions that maintain public trust and service quality under pressure.
Digital,Digital Transformation,Making digital services work for everyone,knowledge,"How would you rate your understanding of what inclusive design means for digital work and services, and what government guidance says about designing for everyone?",1,Novice,inferred,Has little knowledge of inclusive design principles but begins to notice when something might not work for certain users and asks questions about how to make it fairer.
Digital,Digital Transformation,Making digital services work for everyone,knowledge,"How would you rate your understanding of what inclusive design means for digital work and services, and what government guidance says about designing for everyone?",2,Awareness,source,"Understands what inclusive design means and why it matters - that services should work for everyone, including people who face barriers due to circumstances, disability, language or confidence."
Digital,Digital Transformation,Making digital services work for everyone,knowledge,"How would you rate your understanding of what inclusive design means for digital work and services, and what government guidance says about designing for everyone?",3,Working,derived,"Understands core inclusive design principles and how government guidance applies them in practice, including what makes services hard to access for some people."
Digital,Digital Transformation,Making digital services work for everyone,knowledge,"How would you rate your understanding of what inclusive design means for digital work and services, and what government guidance says about designing for everyone?",4,Practitioner,derived,"Has detailed knowledge of inclusive design requirements, including legal duties, good practice guidance and how to apply them across complex or multi-team work."
Digital,Digital Transformation,Making digital services work for everyone,knowledge,"How would you rate your understanding of what inclusive design means for digital work and services, and what government guidance says about designing for everyone?",5,Expert,inferred,"Holds authoritative knowledge of inclusive design principles, legal frameworks and emerging practice; understands their strategic implications for public service delivery."
Digital,Digital Transformation,Making digital services work for everyone,skills,"How would you rate your competence in finding out about the different needs, backgrounds and circumstances of the people your work affects?",1,Novice,source,Follows instructions to help create or test content for different users but needs support to understand what makes something inclusive or exclusive.
Digital,Digital Transformation,Making digital services work for everyone,skills,"How would you rate your competence in finding out about the different needs, backgrounds and circumstances of the people your work affects?",2,Awareness,source,"Uses basic inclusive design steps with guidance, such as checking that language, images or layouts work for different users. Identifies simple ways to make things clearer or more welcoming."
Digital,Digital Transformation,Making digital services work for everyone,skills,"How would you rate your competence in finding out about the different needs, backgrounds and circumstances of the people your work affects?",3,Working,source,"Applies inclusive design principles in routine work; engages with different user groups, adapts approaches based on feedback and uses government guidance to make services easier to use for people with varied backgrounds and needs."
Digital,Digital Transformation,Making digital services work for everyone,skills,"How would you rate your competence in finding out about the different needs, backgrounds and circumstances of the people your work affects?",4,Practitioner,source,Plans and runs user research and engagement that includes people with varied backgrounds and experiences. Reviews services to check they reflect diverse user needs and leads on adopting inclusive design principles across work.
Digital,Digital Transformation,Making digital services work for everyone,skills,"How would you rate your competence in finding out about the different needs, backgrounds and circumstances of the people your work affects?",5,Expert,source,"Sets the direction for inclusive digital design across teams. Ensures inclusivity is built into training and ways of working, and reviews major work to confirm it reflects the needs of all users - including those hardest to reach."
Digital,Digital Transformation,Making digital services work for everyone,skills,How would you rate your competence in using what you learn about users to shape or change your work?,1,Novice,inferred,Does not yet adapt work based on user feedback independently. Follows instructions to make suggested changes.
Digital,Digital Transformation,Making digital services work for everyone,skills,How would you rate your competence in using what you learn about users to shape or change your work?,2,Awareness,derived,Makes small changes to content or processes based on feedback or observations about what users find difficult.
Digital,Digital Transformation,Making digital services work for everyone,skills,How would you rate your competence in using what you learn about users to shape or change your work?,3,Working,derived,"Applies what is learned from users to improve work. Tests changes, checks whether they help and iterates based on further feedback."
Digital,Digital Transformation,Making digital services work for everyone,skills,How would you rate your competence in using what you learn about users to shape or change your work?,4,Practitioner,derived,"Leads improvement work based on user insight across a team; ensures changes are tested, evaluated and embedded."
Digital,Digital Transformation,Making digital services work for everyone,skills,How would you rate your competence in using what you learn about users to shape or change your work?,5,Expert,inferred,Shapes how user insight drives continuous improvement across teams; ensures learning from diverse users is built into how services evolve.
Digital,Digital Transformation,Making digital services work for everyone,behaviours,How would you rate your ability to ensure the needs of people who are harder to reach or more likely to be excluded are considered in your work from the start?,1,Novice,inferred,Begins to notice when something might not work for certain users and asks questions about how to make it fairer or easier to use.
Digital,Digital Transformation,Making digital services work for everyone,behaviours,How would you rate your ability to ensure the needs of people who are harder to reach or more likely to be excluded are considered in your work from the start?,2,Awareness,inferred,Raises concerns when something seems likely to exclude certain users and looks for ways to make it more welcoming.
Digital,Digital Transformation,Making digital services work for everyone,behaviours,How would you rate your ability to ensure the needs of people who are harder to reach or more likely to be excluded are considered in your work from the start?,3,Working,derived,"Consistently applies an inclusive mindset in everyday work - questioning assumptions, sharing examples of good practice and encouraging others to consider who might be left out."
Digital,Digital Transformation,Making digital services work for everyone,behaviours,How would you rate your ability to ensure the needs of people who are harder to reach or more likely to be excluded are considered in your work from the start?,4,Practitioner,source,Leads by example on inclusive practice. Coaches colleagues to consider diverse user needs from the start and challenges approaches that risk excluding people. Reviews work to identify and address gaps.
Digital,Digital Transformation,Making digital services work for everyone,behaviours,How would you rate your ability to ensure the needs of people who are harder to reach or more likely to be excluded are considered in your work from the start?,5,Expert,source,"Promotes a culture where inclusive thinking is a default expectation. Sets the standard for how teams consider excluded and harder-to-reach users and ensures this is built into training, ways of working and major decisions."
Digital,Digital Leadership,Leading in a digital age,knowledge,"How would you rate your understanding of how digital, data and AI can transform the way teams work and deliver outcomes?",1,Novice,inferred,"Has little knowledge of how digital, data and AI can change the way teams work, but notices when technology makes tasks easier or faster and shows curiosity about how transformation happens."
Digital,Digital Leadership,Leading in a digital age,knowledge,"How would you rate your understanding of how digital, data and AI can transform the way teams work and deliver outcomes?",2,Awareness,source,"Understands that digital, data and AI can make work more efficient, fair and effective, and can describe in simple terms how technology has improved services or ways of working."
Digital,Digital Leadership,Leading in a digital age,knowledge,"How would you rate your understanding of how digital, data and AI can transform the way teams work and deliver outcomes?",3,Working,derived,"Understands how digital, data and AI approaches can be applied to improve everyday work and service delivery, including common opportunities and barriers to adoption."
Digital,Digital Leadership,Leading in a digital age,knowledge,"How would you rate your understanding of how digital, data and AI can transform the way teams work and deliver outcomes?",4,Practitioner,derived,"Has detailed knowledge of how to plan and deliver technology-enabled change, including how to balance innovation, risk, efficiency and public value."
Digital,Digital Leadership,Leading in a digital age,knowledge,"How would you rate your understanding of how digital, data and AI can transform the way teams work and deliver outcomes?",5,Expert,inferred,"Holds authoritative understanding of how digital, data and AI transformation works at a strategic level, including how to build long-term capability and align technology adoption with organisational priorities."
Digital,Digital Leadership,Leading in a digital age,skills,"How would you rate your competence in encouraging and supporting colleagues to adopt digital, data and AI approaches in your work?",1,Novice,source,"Follows instructions to use digital tools and systems that support change, and begins to notice opportunities where technology could improve outcomes."
Digital,Digital Leadership,Leading in a digital age,skills,"How would you rate your competence in encouraging and supporting colleagues to adopt digital, data and AI approaches in your work?",2,Awareness,source,Uses digital tools in own work and shares ideas for small improvements. Recognises how technology can make work more efficient and seeks guidance on how to contribute to adoption.
Digital,Digital Leadership,Leading in a digital age,skills,"How would you rate your competence in encouraging and supporting colleagues to adopt digital, data and AI approaches in your work?",3,Working,source,"Applies digital, data and AI approaches to improve everyday work and contributes ideas for innovation. Helps colleagues try new tools responsibly and shares examples of how technology improves outcomes."
Digital,Digital Leadership,Leading in a digital age,skills,"How would you rate your competence in encouraging and supporting colleagues to adopt digital, data and AI approaches in your work?",4,Practitioner,source,"Plans and delivers technology-enabled change that balances innovation, efficiency and public value. Leads adoption initiatives, coaches colleagues and builds team confidence in new ways of working."
Digital,Digital Leadership,Leading in a digital age,skills,"How would you rate your competence in encouraging and supporting colleagues to adopt digital, data and AI approaches in your work?",5,Expert,source,"Sets the vision for digital, data and AI adoption across teams. Ensures technology-enabled change drives efficiency and aligns with organisational priorities, building long-term capability and confidence."
Digital,Digital Leadership,Leading in a digital age,behaviours,How would you rate your competence in helping colleagues feel confident about digital change - including when they are uncertain or sceptical?,1,Novice,inferred,Begins to notice when colleagues feel uncertain about new technology and asks questions about how to help them feel more confident.
Digital,Digital Leadership,Leading in a digital age,behaviours,How would you rate your competence in helping colleagues feel confident about digital change - including when they are uncertain or sceptical?,2,Awareness,derived,"Recognises that people respond differently to digital change and supports colleagues by sharing simple, positive examples of technology improving work."
Digital,Digital Leadership,Leading in a digital age,behaviours,How would you rate your competence in helping colleagues feel confident about digital change - including when they are uncertain or sceptical?,3,Working,derived,Addresses concerns about new technology openly and honestly. Shares evidence of benefits and helps colleagues build confidence through practical experience and peer support.
Digital,Digital Leadership,Leading in a digital age,behaviours,How would you rate your competence in helping colleagues feel confident about digital change - including when they are uncertain or sceptical?,4,Practitioner,derived,Actively manages resistance to digital change by understanding its causes and adapting approaches to build trust. Creates opportunities for colleagues to develop confidence in new ways of working.
Digital,Digital Leadership,Leading in a digital age,behaviours,How would you rate your competence in helping colleagues feel confident about digital change - including when they are uncertain or sceptical?,5,Expert,inferred,Models and promotes a culture where digital change is approached with curiosity and confidence. Ensures teams feel supported through transformation and that trust is built and maintained at every stage.
Data,Foundational Data Skills,Data literacy,knowledge,How would you rate your understanding of data and its role in decision-making?,1,Novice,source,Basic or minimal knowledge of what data is or how it supports decisions.
Data,Foundational Data Skills,Data literacy,knowledge,How would you rate your understanding of data and its role in decision-making?,2,Awareness,source,"Understands what data is, how it is created and stored, and why evidence-based decisions lead to better outcomes."
Data,Foundational Data Skills,Data literacy,knowledge,How would you rate your understanding of data and its role in decision-making?,3,Working,source,Confidently understands core data concepts and how data flows through systems to support decisions.
Data,Foundational Data Skills,Data literacy,knowledge,How would you rate your understanding of data and its role in decision-making?,4,Practitioner,derived,Deep understanding of data as a tool to support decision-making.
Data,Foundational Data Skills,Data literacy,knowledge,How would you rate your understanding of data and its role in decision-making?,5,Expert,inferred,Authoritative knowledge of data concepts and strategy; shapes data knowledge across teams.
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using data in your day-to-day work?,1,Novice,inferred,"Finds and retrieves simple data with direct support, such as locating a record or looking up a figure."
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using data in your day-to-day work?,2,Awareness,source,Uses basic data independently to complete simple tasks such as updating a record or checking totals.
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using data in your day-to-day work?,3,Working,source,"Uses data confidently and consistently in routine work; compares figures, checks accuracy and applies agreed ways of working."
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using data in your day-to-day work?,4,Practitioner,derived,"Manages data across multiple tools; sets up shared spaces, models good practice and supports colleagues."
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using data in your day-to-day work?,5,Expert,inferred,Leads how data is used across teams; designs consistent ways of working and drives improvements.
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using the data tools and systems relevant to your role?,1,Novice,inferred,Has little or no experience using data tools. Needs step-by-step instruction for the simplest tasks.
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using the data tools and systems relevant to your role?,2,Awareness,source,"Can follow instructions to complete basic tasks in familiar tools, such as opening a report or entering a value."
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using the data tools and systems relevant to your role?,3,Working,source,"Uses standard tools and systems independently to complete routine tasks such as updating records, running reports or checking totals."
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using the data tools and systems relevant to your role?,4,Practitioner,source,"Works confidently across multiple tools and systems, combining data sources and adapting to new tools with limited support."
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using the data tools and systems relevant to your role?,5,Expert,derived,Masters a wide range of tools and evaluates new ones. Advises others on the best tools for a given purpose.
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in drawing on data rather than instinct or assumption when you need to make a decision?,1,Novice,inferred,Does not yet use data to inform decisions independently. Follows instructions to find or check figures.
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in drawing on data rather than instinct or assumption when you need to make a decision?,2,Awareness,source,"Uses simple data to help make basic decisions, such as checking a figure before sending a report."
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in drawing on data rather than instinct or assumption when you need to make a decision?,3,Working,source,Applies data regularly to support decisions in own work; draws straightforward conclusions and shares findings clearly.
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in drawing on data rather than instinct or assumption when you need to make a decision?,4,Practitioner,derived,Uses data to make well-reasoned recommendations and challenge assumptions; helps teams make evidence-based decisions.
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in drawing on data rather than instinct or assumption when you need to make a decision?,5,Expert,inferred,Shapes how data informs decisions at a strategic level; champions evidence-based thinking and builds capability across teams.
Data,Foundational Data Skills,Data literacy,behaviours,How would you rate your competence in making sure the data you work with and share is handled safely and responsibly?,1,Novice,inferred,Not yet aware of responsibilities around data handling. May make mistakes without realising the risk.
Data,Foundational Data Skills,Data literacy,behaviours,How would you rate your competence in making sure the data you work with and share is handled safely and responsibly?,2,Awareness,source,Understands that data must be handled carefully and follows basic rules when reminded.
Data,Foundational Data Skills,Data literacy,behaviours,How would you rate your competence in making sure the data you work with and share is handled safely and responsibly?,3,Working,source,"Consistently follows data handling rules, protects sensitive information and raises concerns when something seems wrong."
Data,Foundational Data Skills,Data literacy,behaviours,How would you rate your competence in making sure the data you work with and share is handled safely and responsibly?,4,Practitioner,derived,"Models careful and responsible data use, proactively identifies risks and ensures the team follows secure practices."
Data,Foundational Data Skills,Data literacy,behaviours,How would you rate your competence in making sure the data you work with and share is handled safely and responsibly?,5,Expert,source,"Champions responsible data use at a strategic level, leads on compliance and embeds a culture of data ethics."
Data,Foundational Data Skills,Data literacy,behaviours,How would you rate your competence in evaluating and improving the data processes you work with?,1,Novice,inferred,Does not yet evaluate data processes. Works within whatever is in place.
Data,Foundational Data Skills,Data literacy,behaviours,How would you rate your competence in evaluating and improving the data processes you work with?,2,Awareness,inferred,"Notices when something could work better and mentions it, even if not yet taking action."
